Json Node,Json Column,Tipe Data
debitur,nbfi_jml_plafon,Decimal
debitur,nbfi_jml_saldo_terutang,Decimal
debitur,nbfi_jml_tunggakan,Decimal
debitur,nbfi_jml_tutup_fasilitas,int16
debitur,nbfi_kolektabilitas_terburuk,int16
debitur,nbfi_status_tunggakan,int16
debitur,nbfi_tgl_buka_fasilitas_terakhir,DateTime
debitur,nbfi_tgl_tunggakan_terakhir,DateTime
debitur,nbfi_tgl_tutup_fasilitas_terakhir,DateTime
debitur,nbfi_tunggakan_terburuk,Decimal
debitur,p2p_jml_aktif_fasilitas,int16
debitur,p2p_jml_fasilitas,int16
debitur,p2p_jml_fasilitas_tertunggak,int16
debitur,p2p_jml_hari_tunggakan,int16
debitur,p2p_jml_hari_tunggakan_terburuk,int16
debitur,p2p_jml_plafon,Decimal
debitur,p2p_jml_saldo_terutang,Decimal
debitur,p2p_jml_tunggakan,Decimal
debitur,p2p_jml_tutup_fasilitas,int16
debitur,p2p_kolektabilitas_terburuk,int16
debitur,p2p_status_tunggakan,int16
debitur,p2p_tgl_buka_fasilitas_terakhir,DateTime
debitur,p2p_tgl_tunggakan_terakhir,DateTime
debitur,p2p_tgl_tutup_fasilitas_terakhir,DateTime
debitur,p2p_tunggakan_terburuk,Decimal
debitur,pawn_jml_aktif_fasilitas,int16
debitur,pawn_jml_fasilitas,int16
debitur,pawn_jml_fasilitas_tertunggak,int16
debitur,pawn_jml_hari_tunggakan,int16
debitur,pawn_jml_hari_tunggakan_terburuk,int16
debitur,pawn_jml_plafon,Decimal
debitur,pawn_jml_saldo_terutang,Decimal
debitur,pawn_jml_tunggakan,Decimal
debitur,pawn_jml_tutup_fasilitas,int16
debitur,pawn_kolektabilitas_terburuk,int16
debitur,pawn_status_tunggakan,int16
debitur,pawn_tgl_buka_fasilitas_terakhir,DateTime
debitur,pawn_tgl_tunggakan_terakhir,DateTime
debitur,pawn_tgl_tutup_fasilitas_terakhir,DateTime
debitur,pawn_tunggakan_terburuk,Decimal
debitur,perc_total_bln_tanpa_tunggakan_12bln,int16
debitur,status_tunggakan,int16
debitur,tgl_buka_fasilitas_terakhir,DateTime
debitur,tgl_tunggakan_terakhir,DateTime
debitur,tgl_tutup_fasilitas_terakhir,DateTime
debitur,tunggakan_terburuk,Decimal
debitur,tunggakan_terburuk_12bln,Decimal
fasilitas,baki_debet,Decimal
fasilitas,bank_beneficiery,String
fasilitas,denda,Decimal
fasilitas,disbursement_date,int32
fasilitas,fase_fasilitas,int16
fasilitas,frekuensi_perpanjangan_fasilitas,int32
fasilitas,frekuensi_restrukturisasi,int32
fasilitas,frekuensi_tunggakan,int32
fasilitas,has_collateral,Bit
fasilitas,id_cara_restrukturisasi,int16
fasilitas,id_fasilitas,int64
fasilitas,id_jenis_fasilitas,int32
fasilitas,id_jenis_kredit,int32
fasilitas,id_jenis_pelapor,int32
fasilitas,id_jenis_penggunaan,int32
fasilitas,id_jenis_suku_bunga_atau_imbalan,int16
fasilitas,id_kabupaten_kota,int16
fasilitas,id_kantor_cabang,int64
fasilitas,id_kategori_debitur,int16
fasilitas,id_kolektabilitas,int16
fasilitas,id_kondisi,int16
fasilitas,id_kredit_program_pemerintah,int16
fasilitas,id_orientasi_penggunaan,int16
fasilitas,id_pelapor,int32
fasilitas,id_produk,int16
fasilitas,id_sebab_macet,int16
fasilitas,id_sektor_ekonomi,int16
fasilitas,id_sifat_kredit,int16
fasilitas,id_skim_pembiayaan,int16
fasilitas,id_sumber,int16
fasilitas,id_valuta,int16
fasilitas,is_active_fasilitas,Bit
fasilitas,is_closed_negative,Bit
fasilitas,is_closed_negative_on_1st_6m_after_open,Bit
fasilitas,is_closed_positive,Bit
fasilitas,is_dpd_90_in_6m_after_open,Bit
fasilitas,jml_hari_tunggakan_terburuk,int32
fasilitas,jml_hari_tunggakan_terburuk_12bln,int32
fasilitas,jml_tunggakan,Decimal
fasilitas,jumlah_hari_tunggakan,int32
fasilitas,keterangan,String
fasilitas,keterangan_sebab_macet,String
fasilitas,koletabilitas_terburuk,int16
fasilitas,koletabilitas_terburuk_12bln,int16
fasilitas,listing,String
fasilitas,nama_yang_dijamin,String
fasilitas,nilai_dalam_mata_uang_asal,Decimal
fasilitas,nilai_pasar,Decimal
fasilitas,nilai_perolehan,Decimal
fasilitas,nilai_proyek,Decimal
fasilitas,nominal,Decimal
fasilitas,nominal_tunggakan,Decimal
fasilitas,nomor_akad_akhir,String
fasilitas,nomor_akad_awal,String
fasilitas,nomor_rekening_fasilitas,String
fasilitas,peringkat_surat_berharga,String
fasilitas,plafon,Decimal
fasilitas,plafon_awal,Decimal
fasilitas,realisasi_atau_pencairan_bulan_berjalan,Decimal
fasilitas,saldo_terutang,Decimal
fasilitas,sequence_debitur_anggota_joint_account,int32
fasilitas,setoran_jaminan,Decimal
fasilitas,sovereign_rate,String
fasilitas,suku_bunga_atau_imbalan,Decimal
fasilitas,syndicated_loan,int16?
fasilitas,tahun_bulan_data,DateTime
fasilitas,tanggal_akad_akhir,DateTime
fasilitas,tanggal_akad_awal,DateTime
fasilitas,tanggal_akhir,DateTime
fasilitas,tanggal_awal_kredit_atau_pembiayaan,DateTime
fasilitas,tanggal_jatuh_tempo,DateTime
fasilitas,tanggal_keluar,DateTime
fasilitas,tanggal_kondisi,DateTime
fasilitas,tanggal_macet,DateTime
fasilitas,tanggal_mulai,DateTime
fasilitas,tanggal_pembelian,DateTime
fasilitas,tanggal_penerbitan,DateTime
fasilitas,tanggal_restrukturisasi_akhir,DateTime
fasilitas,tanggal_restrukturisasi_awal,DateTime
fasilitas,tanggal_tunggakan,DateTime
fasilitas,tanggal_wanprestasi,DateTime
fasilitas,tenor,int16
fasilitas,tgl_tunggakan_terakhir,DateTime
fasilitas,tunggakan_bunga_atau_imbalan,Decimal
fasilitas,tunggakan_pokok,Decimal
fasilitas,tunggakan_terburuk,Decimal
fasilitas,tunggakan_terburuk_12bln,Decimal
Agunan,alamat_agunan,String
Agunan,bukti_kepemilikan,String
Agunan,diasuransikan,int16
Agunan,id_agunan,int64
Agunan,id_jenis_agunan,int16
Agunan,id_jenis_pengikatan,int16
Agunan,id_kabupaten_kota,int16
Agunan,id_kantor_cabang,int64
Agunan,id_lembaga_pemeringkat,int16
Agunan,id_status_agunan,int16
Agunan,keterangan,String
Agunan,kode_register_atau_nomor_agunan,String
Agunan,nama_pemilik_agunan,String
Agunan,nama_penilai_independen,String
Agunan,nilai_agunan_menurut_pelapor,Decimal
Agunan,nilai_agunan_menurut_penilai_independen,Decimal
Agunan,nilai_agunan_sesuai_njop,Decimal
Agunan,peringkat_agunan,String
Agunan,persentase_paripasu,Decimal?
Agunan,status_kredit_joint_account,String
Agunan,status_paripasu,String
Agunan,tanggal_pengikatan,DateTime
Agunan,tanggal_penilaian_agunan_menurut_pelapor,DateTime
Agunan,tanggal_penilaian_agunan_menurut_penilai_independen,DateTime
Penjamin,alamat_penjamin,String
Penjamin,id_golongan_debitur,int32
Penjamin,id_jenis_fasilitas,int32
Penjamin,id_jenis_identitas,int16
Penjamin,id_kantor_cabang,int64
Penjamin,id_penjamin,int64
Penjamin,keterangan,String
Penjamin,nama_lengkap_penjamin,String
Penjamin,nama_penjamin_sesuai_identitas,String
Penjamin,nomor_identitas_penjamin,String
Penjamin,npwp_penjamin,String
Penjamin,persentase_fasilitas_yang_dijamin,Decimal
Penjamin,tahun_bulan_data,DateTime
riwayat_fasilitas,baki_debet,Decimal
riwayat_fasilitas,denda,Decimal
riwayat_fasilitas,id_kolektabilitas,int16
riwayat_fasilitas,jumlah_hari_tunggakan,int32
riwayat_fasilitas,nominal_tunggakan,Decimal
riwayat_fasilitas,saldo_terutang,Decimal
riwayat_fasilitas,snapshot_order,int32
riwayat_fasilitas,tahun_bulan_data,DateTime
riwayat_fasilitas,tunggakan_bunga_atau_imbalan,Decimal?
Pengaduan,jml_pengaduan_selesai,int16
Pengaduan,jml_pengaduan_tidak_sah,int16
detail_pengaduan,tgl_pengaduan,Date
detail_pengaduan,resolusi,String
detail_pengaduan,status,String
detail_pengaduan,keterangan,String
riwayat_identitas_debitur,id_elemen,int64
riwayat_identitas_debitur,id_pelapor,int32
riwayat_identitas_debitur,tahun_bulan_data,DateTime
riwayat_identitas_debitur,value,String
permintaan_data,id_jenis_pelapor,int32
permintaan_data,id_pelapor,int32
permintaan_data,id_tujuan_permintaan,int32
permintaan_data,tgl_permintaan,DateTime
summary_permintaan_data,periode,Date
summary_permintaan_data,jml_pelapor_mfin_12bln,int32
summary_permintaan_data,bln_permintaan_takhir_mfin,int32
summary_permintaan_data,jml_permintaan_12bln,int32
summary_permintaan_data,jml_permintaan_1bln,int32
summary_permintaan_data,jml_permintaan_24bln,int32
summary_permintaan_data,jml_permintaan_3bln,int32
summary_permintaan_data,jml_permintaan_6bln,int32
summary_permintaan_data,jml_pelapor_12bln,int32
summary_permintaan_data,jml_pelapor_1bln,int32
summary_permintaan_data,jml_pelapor_24bln,int32
summary_permintaan_data,jml_pelapor_3bln,int32
summary_permintaan_data,jml_pelapor_6bln,int32
summary_riwayat_debitur,jml_fasilitas,int16?
summary_riwayat_debitur,jml_hari_tunggakan_terburuk,int16?
summary_riwayat_debitur,jml_saldo_terutang,Decimal?
summary_riwayat_debitur,jml_tunggakan,Decimal?
summary_riwayat_debitur,kolektabilitas_terburuk,int16?
summary_riwayat_debitur,tahun_bulan_data,DateTime
Pengurus,alamat,String
Pengurus,id_debitur,int64
Pengurus,id_jabatan,int32
Pengurus,id_jenis_identitas,int16
Pengurus,id_jenis_kelamin,int32
Pengurus,id_kabupaten_kota,int16
Pengurus,id_kantor_cabang,int64
Pengurus,id_pengurus_pemilik,int64
Pengurus,id_tipe_debitur,int16
Pengurus,kecamatan,String
Pengurus,kelurahan,String
Pengurus,nama_pengurus_dan_atau_pemilik_debitur_badan_usaha,String
Pengurus,nomor_identitas_pengurus_dan_atau_pemilik_debitur_badan_usaha,String
Pengurus,pangsa_kepemilikan,Decimal?
Pengurus,status_pengurus_dan_atau_pemilik_debitur_badan_usaha,String
Pengaduan,jml_pengaduan_aktif_fasilitas,int16
pengaduan,jml_pengaduan_aktif_debitur,int16
pengaduan,jml_pengaduan_aktif_pengadilan,int16
pengaduan,jml_pengaduan_selesai_fasilitas,int16
pengaduan,jml_pengaduan_selesai_debitur,int16
pengaduan,jml_pengaduan_tidak_sah,int16
pengaduan,jml_pengaduan_selesai,int16
detail_pengaduan,tgl_pengaduan,DateTime
detail_pengaduan,resolusi,String
detail_pengaduan,status,String
detail_pengaduan,keterangan,String
otherdata,id_pelapor,int32
otherdata,key,Array
otherdata,value,Array
custom_rules,code,String
custom_rules,desc,String
